match_id,player_id,team_id,jersey_number,position_name,is_starting_xi
3857296,37148,785,24,,0
3857296,39490,785,25,,0
3857296,49337,785,2,,0
3857274,2988,941,10,Left Center Forward,0
3857274,3264,941,18,,0
3857274,3306,941,5,Left Center Back,1
3857274,3311,941,17,Left Wing Back,1
3857274,3669,941,4,Center Back,1
3857274,4318,941,14,Center Attacking Midfield,1
3857274,6994,941,15,Right Defensive Midfield,0
3857274,7745,941,11,Center Attacking Midfield,0
3857274,7787,941,6,,0
3857274,7829,941,19,Right Center Forward,0
3857274,7838,941,1,,0
3857274,7891,941,20,Right Defensive Midfield,1
3857274,8069,941,3,,0
3857274,8118,941,21,Left Defensive Midfield,1
3857274,8124,941,16,,0
3857274,8125,941,22,Right Wing Back,1
3857274,8259,941,7,Left Center Forward,1
3857274,8326,941,23,Goalkeeper,1
3857274,16185,941,13,,0
3857274,20033,941,9,,0
3857274,20750,941,8,Right Center Forward,1
3857274,21547,941,12,,0
3857274,21809,941,2,Right Center Back,1
3857274,21879,941,24,,0
3857274,32712,941,26,,0
3857274,39167,941,25,,0
3857274,12583,3565,8,,0
3857274,12803,3565,10,Right Attacking Midfield,0
3857274,15486,3565,18,,0
3857274,23830,3565,20,Right Defensive Midfield,1
3857274,24085,3565,7,Left Wing Back,1
3857274,25083,3565,14,,0
3857274,25352,3565,4,,0
3857274,28511,3565,15,,0
3857274,28559,3565,13,Left Attacking Midfield,1
3857274,30111,3565,2,Center Back,1
3857274,31152,3565,19,Right Attacking Midfield,1
3857274,32677,3565,22,,0
3857274,34194,3565,9,,0
3857274,34396,3565,11,Center Forward,1
3857274,36148,3565,5,,0
3857274,37522,3565,1,Goalkeeper,1
3857274,37726,3565,23,Left Defensive Midfield,1
3857274,37737,3565,17,Right Wing Back,1
3857274,37742,3565,12,,0
3857274,37945,3565,21,,0
3857274,38004,3565,3,Left Center Back,1
3857274,40211,3565,16,Center Forward,0
3857274,41593,3565,6,,0
3857274,51969,3565,25,Right Center Back,1
3857274,91090,3565,24,,0
3857274,348757,3565,26,Center Forward,0
3857255,3175,778,1,,0
3857255,3300,778,22,Center Back,1
3857255,3530,778,19,,0
3857255,5690,778,5,Left Wing Back,1
3857255,5693,778,7,,0
3857255,8361,778,8,Right Wing,0
3857255,8776,778,10,,0
3857255,8949,778,18,Center Forward,0
3857255,9411,778,15,Left Wing,1
3857255,23527,778,14,Right Wing Back,1
3857255,23721,778,6,Right Defensive Midfield,0
3857255,23730,778,16,Left Wing,0
3857255,25719,778,12,Goalkeeper,1
3857255,29366,778,23,,0
3857255,29595,778,4,Right Center Back,1
3857255,30628,778,25,Center Forward,1
3857255,31090,778,11,Right Wing,1
3857255,37122,778,24,,0
3857255,37208,778,17,Right Defensive Midfield,1
3857255,37209,778,2,,0
3857255,37211,778,9,Left Wing Back,0
3857255,37215,778,3,Left Center Back,1
3857255,37221,778,13,Left Defensive Midfield,1
3857255,38285,778,21,,0
3857255,95272,778,26,,0
3857255,100436,778,20,,0
3857255,3477,772,7,Center Forward,1
3857255,3957,772,2,Right Back,1
3857255,4127,772,13,,0
3857255,4353,772,24,,0
3857255,5199,772,8,,0
3857255,5203,772,5,Center Defensive Midfield,1
3857255,5211,772,18,Left Back,0
3857255,5719,772,10,Center Forward,0
3857255,5721,772,20,Right Back,0
3857255,6583,772,19,,0
3857255,6720,772,22,,0
3857255,6748,772,11,Right Wing,0
3857255,6765,772,16,Right Center Back,1
3857255,6840,772,6,,0
3857255,6892,772,4,Left Center Back,1
3857255,9843,772,1,,0
3857255,11748,772,23,Goalkeeper,1
3857255,16532,772,21,Left Wing,1
3857255,30486,772,26,Left Center Midfield,1
3857255,30756,772,25,Right Center Midfield,0
3857255,31953,772,3,,0
3857255,35641,772,15,,0
3857255,39161,772,14,Left Back,1
3857255,50494,772,17,,0
3857255,68574,772,12,Right Wing,1
3857255,133353,772,9,Right Center Midfield,1
3857272,3205,768,2,,0
3857272,3233,768,10,Left Wing,1
3857272,3244,768,5,Right Center Back,1
3857272,3308,768,12,Right Back,1
3857272,3318,768,11,Right Wing,0
3857272,3336,768,6,Left Center Back,1
3857272,3382,768,3,Left Back,1
3857272,3468,768,1,Goalkeeper,1
3857272,3474,768,13,,0
3857272,3532,768,8,Right Defensive Midfield,0
3857272,3616,768,24,,0
3857272,3664,768,18,,0
3857272,3943,768,4,Left Defensive Midfield,1
3857272,4354,768,20,,0
3857272,4706,768,14,,0
3857272,7843,768,19,Center Attacking Midfield,1
3857272,9638,768,7,Left Wing,0
3857272,9905,768,25,,0
3857272,9928,768,16,,0
3857272,10955,768,9,Center Forward,1
3857272,10956,768,15,,0
3857272,22084,768,17,Right Wing,1
3857272,22783,768,23,,0
3857272,22809,768,21,,0
3857272,29399,768,26,,0
3857272,30714,768,22,Right Defensive Midfield,1
3857272,3377,1839,21,Right Center Forward,1
3857272,3658,1839,22,,0
3857272,4614,1839,5,Left Back,1
3857272,6806,1839,18,Right Back,0
