event_id,match_id,period,minute,team_id,player_id,position_name,outcome_name,is_complete,loc_x,loc_y
68949db8-154f-4829-918e-506a94934443,3857276,1,6,788,46258,Right Center Midfield,Complete,1,74.7,33.3
0d95d8ea-9e76-438a-988c-ad7d49ec979f,3857276,1,11,1833,24024,Left Midfield,Incomplete,0,74.9,1.2
d0c7ee36-acd9-49f0-bfa0-87a34aa1a417,3857276,1,13,788,3625,Left Wing,Incomplete,0,94.8,12.2
2daa3156-059b-4e9e-8eff-83473373f329,3857276,1,14,1833,16459,Center Forward,Complete,1,84.9,70.9
fe454eb5-714a-413d-bc65-b299122e0fea,3857276,1,15,788,5237,Right Wing,Complete,1,99.7,60.3
3e791e60-334e-4059-8bc0-110a7b60f6a1,3857276,1,18,1833,16459,Center Forward,Incomplete,0,112.6,60.8
c9355719-6477-4298-8ddf-ca74216e6054,3857276,1,26,1833,24024,Left Midfield,Incomplete,0,57.5,17.2
8b6203fa-1624-4836-a32e-181cc31bad03,3857276,1,26,1833,9922,Right Midfield,Complete,1,81.3,73.9
24392e8d-d4cf-418d-b176-5a1be57dbc48,3857276,1,27,1833,9922,Right Midfield,Complete,1,82.4,74.1
c7752593-e525-4d24-a9b4-0fb29d269f9a,3857276,1,27,1833,9922,Right Midfield,Incomplete,0,90.3,76.1
371bc758-bf00-4772-b74b-720c279c8ceb,3857276,1,37,1833,9922,Right Midfield,Complete,1,97.6,75.2
f64531f0-6456-47e3-893c-172c8d59e8ad,3857276,1,39,788,6301,Center Forward,Incomplete,0,109.9,12.2
471eb583-5478-44c5-b653-dd65ea79ae6b,3857276,1,39,1833,29758,Left Back,Complete,1,105.3,6.4
360c7671-ce76-4146-8803-e32a22cc9f75,3857276,1,42,1833,24024,Left Midfield,Incomplete,0,87.5,76.1
148ea54d-e975-4cf8-8c45-b19f403438f9,3857276,1,48,1833,12365,Center Attacking Midfield,Complete,1,52.2,38.3
88820284-739f-4dc0-95d5-9b83ca3ac86a,3857276,1,48,1833,12365,Center Attacking Midfield,Complete,1,57.4,25.0
0f40e6ff-3ed1-43b3-954e-0e6c0e5208f3,3857276,2,46,1833,24024,Left Midfield,Incomplete,0,80.9,7.0
bf879840-c52f-479a-a88a-e73233b7e66f,3857276,2,47,1833,12365,Center Attacking Midfield,Incomplete,0,74.1,78.0
c580637c-3256-4eb6-a6f4-890af56f5ec8,3857276,2,48,788,46258,Right Center Midfield,Complete,1,59.3,63.7
29146f03-1a48-4c7f-b0e7-372de20ce902,3857276,2,48,1833,23828,Left Center Back,Complete,1,13.5,27.8
2b19e014-80a1-40b1-9616-a4bd1452d87c,3857276,2,49,1833,12365,Center Attacking Midfield,Incomplete,0,102.3,11.1
1a001b6b-c1c0-4e6b-af1b-e2be1791b23c,3857276,2,52,1833,24024,Left Midfield,Incomplete,0,106.8,10.2
8a7339a4-a695-46c8-b31a-1957fe58615a,3857276,2,53,788,6301,Center Forward,Complete,1,48.8,72.4
2b2347a7-2bb2-47d1-a450-b2a48f3848d1,3857276,2,60,1833,24024,Left Back,Incomplete,0,23.4,4.9
47561afc-71de-4005-a68e-3957588c21e9,3857276,2,61,788,5237,Right Wing,Incomplete,0,109.8,75.7
d826455a-1057-41ad-98a0-bf1ff8fa6e80,3857276,2,62,788,5237,Right Wing,Incomplete,0,33.2,28.4
757c5442-43d7-49aa-bfc6-d1c11b4084d0,3857276,2,62,1833,23640,Center Forward,Incomplete,0,104.0,26.3
b83909d1-881a-46b5-ad2a-eb64a574baca,3857276,2,69,1833,24024,Left Back,Complete,1,84.3,22.4
48a0351a-9af6-4caf-b950-5cf5fd70c497,3857276,2,72,788,5237,Right Wing,Complete,1,53.1,54.3
263aec4f-d11f-4c3c-9b8d-652791488b59,3857276,2,73,1833,16120,Right Midfield,Incomplete,0,117.9,73.7
46045975-82fd-449a-a548-3b85a266d89f,3857276,2,77,1833,9036,Left Midfield,Complete,1,70.8,9.2
4b8c84a8-98ed-4680-80bf-968b6ad05778,3857276,2,79,788,15890,Left Wing Back,Incomplete,0,28.3,17.0
c467952c-cb45-4c85-8ea6-cb75d4b74867,3857276,2,80,1833,23640,Right Center Forward,Incomplete,0,80.3,77.8
c040c3d2-5380-4cf9-b16a-1d8c169bb7a4,3857276,2,88,788,23774,Left Wing,Incomplete,0,68.1,25.2
f80b3e72-7769-4529-8470-098b08edbfd4,3857276,2,89,1833,16120,Right Midfield,Complete,1,84.1,77.6
4f45d6fc-d3a7-4c18-aa43-652add2e4da6,3857276,2,89,788,6301,Right Wing,Incomplete,0,79.0,75.4
ffffbc6f-08cb-42c5-a034-e08b245c7d72,3857276,2,89,1833,23640,Right Center Forward,Complete,1,69.1,29.5
26a7bba3-3b80-46f7-a467-f83c59b5b720,3857276,2,90,1833,133229,Right Defensive Midfield,Complete,1,71.3,9.6
32c2db1c-4e9c-4b93-944d-81183e807a8b,3857276,2,93,788,6301,Right Wing,Complete,1,69.4,75.9
8617df51-e02c-441b-825f-c9081a4f733b,3857271,1,6,768,22084,Right Wing,Complete,1,73.0,51.7
2ee3580f-1f23-404e-a428-8d88156608bf,3857271,1,21,797,5239,Right Wing,Incomplete,0,113.9,7.3
acdc430e-85b5-496c-8dfb-e097eaec2451,3857271,1,25,797,5226,Center Forward,Incomplete,0,22.2,29.0
08b5b16f-79be-4bd4-83a8-342165cf0109,3857271,1,26,768,22084,Right Wing,Incomplete,0,89.8,60.3
e021d649-d021-4e8d-9a99-29a248b18e9b,3857271,1,30,797,5226,Center Forward,Incomplete,0,93.8,40.6
11f58773-76c9-4673-810e-657d48ba573a,3857271,1,30,768,3233,Left Wing,Complete,1,101.8,59.9
0acc944b-a489-4b34-aa25-ea716ffc36de,3857271,1,32,797,5720,Left Wing Back,Incomplete,0,101.9,9.8
de709862-2b9d-41b0-bc8b-7b5042714ed3,3857271,1,44,797,5720,Left Wing Back,Incomplete,0,39.6,10.5
c0ee9ec2-ff60-40f4-beeb-096beedf0952,3857271,1,47,768,30714,Right Defensive Midfield,Complete,1,91.4,40.2
10faa6f5-e42c-46fd-8c93-228344e0eccc,3857271,1,58,768,7843,Center Attacking Midfield,Complete,1,76.2,6.6
193cc918-a81c-4aa9-a9bb-1ee053ef6ce6,3857271,2,47,768,10955,Center Forward,Complete,1,87.6,19.1
943b5148-ff45-450e-9685-d4831c28261b,3857271,2,53,768,30714,Right Defensive Midfield,Complete,1,111.6,71.0
9283b783-c590-4cba-b5c5-b47957682025,3857271,2,54,797,5230,Left Attacking Midfield,Incomplete,0,46.7,8.0
d9bc6f64-0a39-4732-a932-f79fc9520540,3857271,2,55,768,3336,Left Center Back,Complete,1,20.9,37.8
960d7ec5-c677-475f-81e0-7699785c1fb2,3857271,2,55,768,3233,Left Wing,Incomplete,0,99.8,29.5
17799773-3553-4134-95e5-19a9c306b4a2,3857271,2,61,768,3233,Left Wing,Complete,1,78.6,38.7
033664ba-e245-448d-a968-13b6225781f8,3857271,2,63,797,124161,Left Attacking Midfield,Incomplete,0,96.3,3.7
87ca613d-4644-44a5-8eff-c9ad436c6003,3857271,2,68,797,23538,Right Wing Back,Complete,1,28.2,67.5
8fdf0101-988d-400b-b3f5-ac3474ca1637,3857271,2,78,768,3318,Right Wing,Incomplete,0,80.2,55.9
432eb601-6b79-49af-b886-9b02708b667b,3857271,2,83,768,3318,Right Wing,Complete,1,107.5,59.1
64698394-f3fe-4d2e-9f14-a93c58be80de,3857271,2,83,797,23538,Right Wing Back,Incomplete,0,10.6,48.3
c570d8d9-336c-45d5-9fb7-b8072a10e7c4,3857271,2,85,768,3318,Right Wing,Complete,1,102.1,51.4
99f9f6d3-fec4-4f1f-b549-5116c696ebf9,3857271,2,86,797,23874,Left Center Midfield,Incomplete,0,99.2,10.0
5f748eef-1935-4c2b-9106-4677cce32ec6,3857271,2,86,797,23874,Left Center Midfield,Incomplete,0,87.9,2.3
733b9bdb-6465-47ce-821d-22aa90d52276,3857271,2,91,768,3943,Left Defensive Midfield,Incomplete,0,58.1,73.9
d2556185-3eb2-4954-9e71-ad416d299c97,3857296,1,0,785,5474,Left Wing,Complete,1,101.4,20.4
0077ec37-be9e-4870-a4d1-fd055ac1ef12,3857296,1,1,785,5463,Right Center Midfield,Incomplete,0,106.2,74.1
fce36d27-d646-431a-b37a-0e2a050c680a,3857296,1,2,785,5474,Left Wing,Complete,1,79.1,43.0
73cffa96-d5a5-488a-814e-f9bdcaa317c5,3857296,1,3,785,5474,Left Wing,Complete,1,50.7,9.4
ff495677-71d3-4b07-b043-0080b06916e1,3857296,1,3,785,5474,Left Wing,Incomplete,0,58.8,10.6
d2457547-fb67-4259-8a24-6aa3abf0430b,3857296,1,5,782,3176,Right Back,Complete,1,23.3,77.2
9f2e2690-d91e-493d-84ed-6ebcf1235fb5,3857296,1,21,782,16559,Center Forward,Complete,1,29.3,41.7
5a15f36a-c84c-4a67-b5fa-bf7bb20b2c42,3857296,1,25,785,5474,Left Wing,Incomplete,0,110.2,8.9
f4e6f2d6-38b0-420d-8f85-a3c64258c41a,3857296,1,31,785,12625,Left Back,Incomplete,0,110.2,7.7
89f10299-4365-46a5-bfbf-c4fcb950fa2d,3857296,1,33,782,5633,Left Wing,Incomplete,0,93.1,2.6
f3a9d193-a542-4c2c-b42e-837d43153d87,3857296,1,36,782,6331,Right Defensive Midfield,Incomplete,0,64.8,23.7
8045a598-a7ec-489a-a605-2523a9dea5ba,3857296,1,47,782,3089,Right Wing,Complete,1,81.4,16.0
b8b0ac20-26c9-4806-9234-1ae9013fb426,3857296,1,48,785,5474,Left Wing,Incomplete,0,81.7,4.7
4f38f682-5182-4aad-af16-c6fd6fa9ba29,3857296,2,45,782,3089,Right Wing,Complete,1,71.3,67.6
8125177a-152e-455f-a2c8-9b6044e6cdd4,3857296,2,55,785,12625,Left Back,Incomplete,0,101.4,10.7
c8d68726-c55e-43ca-848c-b2294145988d,3857296,2,57,785,5474,Left Wing,Incomplete,0,101.9,8.8
b2340bee-1239-4460-842c-35e139d27ecc,3857296,2,59,782,5633,Left Wing,Complete,1,104.9,33.2
b77e9635-1920-4bae-b749-2dcb46eeee64,3857296,2,66,785,33018,Left Center Back,Complete,1,88.7,30.3
f6e0d8e3-f9a8-488e-b97c-23d43205efce,3857296,2,67,782,3289,Center Forward,Complete,1,57.3,47.2
f95b1274-9325-4263-bfe2-4a4d2b93f362,3857296,2,75,782,23650,Left Wing,Complete,1,44.9,13.1
8e6625e5-7e74-4522-b9f8-e28c40716374,3857296,2,75,785,5463,Right Center Midfield,Complete,1,3.1,65.6
997e42ac-810a-45e2-9828-7cd086aaca0a,3857296,2,89,785,5474,Left Wing,Incomplete,0,89.2,8.2
fb6d788c-06f3-4c41-8f35-c450bb3faeca,3857296,2,89,785,12625,Left Back,Complete,1,83.2,11.6
7bee4749-96df-4315-8604-c3c25d9aa540,3857296,2,89,785,12625,Left Back,Incomplete,0,97.6,20.0
b8bc54f9-95c0-4c6e-ae2c-4a22af201f2e,3857296,2,89,782,23650,Left Wing,Complete,1,108.4,25.9
49c98ff5-9692-48a3-a478-25ee6dd5083a,3857296,2,90,782,23650,Left Wing,Incomplete,0,63.3,15.0
31ea419e-7bf8-40f5-ad75-cd94fdfdb388,3857296,2,92,782,3621,Right Wing,Complete,1,43.6,26.1
7cd6c9af-311f-4393-8fa6-4d609566c0e1,3857274,1,0,3565,24085,Left Wing Back,Incomplete,0,91.2,21.4
dae6c9fb-3133-4885-857d-d022ac488980,3857274,1,0,941,21809,Right Center Back,Complete,1,54.1,74.6
203a2126-d2ba-4916-ad62-3a8d27a81e67,3857274,1,1,941,7891,Right Defensive Midfield,Complete,1,64.8,53.2
a5085d31-9bcc-4345-a3e4-f2c63ab0c9b6,3857274,1,2,3565,24085,Left Wing Back,Incomplete,0,47.8,2.9
d86feb4a-5a9f-4562-849b-693f792af991,3857274,1,7,3565,37726,Left Defensive Midfield,Complete,1,59.6,27.3
