event_id,match_id,period,minute,team_id,player_off_id,player_off_name,player_on_id,player_on_name,position_name,outcome_name
72347fda-045d-48ec-b456-7af85ba13503,3857276,2,59,1833,16459,Cyle Larin,23640,Jonathan David,Center Forward,Tactical
777ac928-1ce7-4141-9b0e-4bdd092fcf36,3857276,2,59,1833,16252,Mark Anthony Kaye,31684,Atiba Hutchinson,Left Defensive Midfield,Tactical
aa2170fe-6638-4ceb-866a-64acc0a72d4c,3857276,2,60,1833,29758,Sam Adekugbe,133229,Ismael Kone,Left Back,Tactical
c3119f45-b744-4f1f-ada2-ade2436aee1d,3857276,2,64,788,3625,Sofiane Boufal,21736,Zakaria Aboukhlal,Left Wing,Tactical
af9a6f30-9ad5-48c4-8ddf-0c08aca634bf,3857276,2,64,788,3634,Abdelhamid Sabiri,23774,Selim Amallah,Left Center Midfield,Tactical
05ea9578-acfa-44d3-9c14-587b8339a2fe,3857276,2,65,1833,12770,Jonathan Osorio,16120,Richie Laryea,Left Midfield,Tactical
89982369-0b24-42ca-92c3-fb33fe40c9f2,3857276,2,75,1833,9922,David Junior Hoilett,9036,David Wallace Wotherspoon,Left Midfield,Tactical
0af4ab50-25c2-4507-8324-2f7cdb1acc3c,3857276,2,75,788,5237,Hakim Ziyech,59493,Abderrazak Hamdallah,Right Wing,Tactical
34c63339-b138-44f0-be08-d37c32410af2,3857276,2,75,788,46258,Azzedine Ounahi,7459,Jawad El Yamiq,Right Center Midfield,Tactical
c4c15d58-0699-41a3-a2b9-bf8a9f71d7f4,3857276,2,84,788,5245,Achraf Hakimi Mouh,102668,Yahya Jabrane,Right Wing Back,Tactical
f84b18a1-fbfe-4643-8dbc-ae7f64730826,3857271,1,19,797,5227,Alireza Safar Beiranvand,125823,Seyed Hossein Hosseini,Goalkeeper,Tactical
894f5f42-5ab3-444f-8d2f-d4930b5023d7,3857271,2,45,797,125818,Ali Karimi,5722,Saeid Ezatolahi Afagh,Left Defensive Midfield,Tactical
cb8a34b1-f110-460b-a4e4-fd9878e236ce,3857271,2,45,797,5239,Alireza Jahanbakhsh,23874,Ali Gholizadeh,Right Wing,Tactical
2777cca8-930d-4f44-8b63-18910145ab83,3857271,2,45,797,5222,Roozbeh Cheshmi,124175,Mohammad Hossein Kanani Zadegan,Center Back,Tactical
9d54fb83-7090-493c-94a6-3da2f7010262,3857271,2,62,797,5720,Milad Mohammadi,124161,Mehdi Torabi,Left Wing Back,Tactical
0db58865-7da4-47dd-8b76-a96ae7322d9c,3857271,2,70,768,3233,Raheem Sterling,9638,Jack Grealish,Left Wing,Tactical
3b6cae3e-463d-4484-a48c-4d0c2b47578a,3857271,2,70,768,22084,Bukayo Saka,3318,Marcus Rashford,Right Wing,Tactical
5608b0b7-01b0-4dcb-9879-a085fb3ac19b,3857271,2,70,768,3336,Harry Maguire,10956,Eric Dier,Left Center Back,Injury
10fed23e-609c-47b5-8ea2-88f2192d8c19,3857271,2,70,768,7843,Mason Mount,4354,Phil Foden,Center Attacking Midfield,Tactical
bbb054d6-909a-47a0-bc6f-187df303b75b,3857271,2,75,768,10955,Harry Kane,3616,Callum Wilson,Center Forward,Tactical
91298db9-de46-4ee5-bd70-adbaac3e973c,3857271,2,76,797,124167,Ahmad Nourollahi,5224,Sardar Azmoun,Right Defensive Midfield,Tactical
98f2473c-df4d-4f19-8f6c-f80774afdeab,3857296,2,45,782,5630,Dries Mertens,3289,Romelu Lukaku Menama,Center Attacking Midfield,Tactical
ac8e5665-5187-4a35-bdd7-0ee7d2e05a33,3857296,2,58,782,16559,Leandro Trossard,5632,Thorgan Hazard,Center Attacking Midfield,Tactical
5bce2389-a5d8-4726-b7d5-3b837daceab6,3857296,2,63,785,22041,Marko Livaja,7693,Bruno Petkovic,Center Forward,Tactical
9b774e0b-075f-48ee-9b21-47c5aaeee380,3857296,2,63,785,5460,Andrej Kramaric,11603,Mario Pasalic,Right Wing,Tactical
d205e8ed-f896-417d-82d4-da326ce10337,3857296,2,71,782,5633,Yannick Ferreira Carrasco,23650,Jeremy Doku,Center Attacking Midfield,Tactical
07666215-7d34-4b4b-9282-a9eb7d5d910c,3857296,2,71,782,6331,Leander Dendoncker,2954,Youri Tielemans,Right Defensive Midfield,Tactical
2c671ca4-0f18-4e82-bdf3-d42d980ec7ce,3857296,2,86,782,3176,Thomas Meunier,3621,Eden Hazard,Right Back,Tactical
