event_id,match_id,period,minute,second,team_id,team_name,player_id,player_name,position_name,loc_x,loc_y,end_loc_x,end_loc_y,statsbomb_xg,outcome_name,body_part_name,shot_type_name,technique_name,under_pressure
473df22f-d159-4416-a5ce-62838698ea12,3857276,1,2,5,1833,Canada,16252,Mark Anthony Kaye,Left Defensive Midfield,96.5,40.7,104.1,39.4,0.038882375,Blocked,Left Foot,Open Play,Normal,1
13b63722-8099-4cdf-818a-d2df3036a633,3857276,1,3,29,788,Morocco,5237,Hakim Ziyech,Right Wing,83.9,45.0,120.0,43.3,0.024477394,Goal,Left Foot,Open Play,Lob,0
19f400ea-038a-458b-a26a-2a6137a71583,3857276,1,8,18,788,Morocco,3634,Abdelhamid Sabiri,Left Center Midfield,86.8,38.4,96.6,38.4,0.02207015,Blocked,Right Foot,Free Kick,Normal,0
06924724-9654-4c47-a906-2e4c55b1155f,3857276,1,9,9,788,Morocco,3625,Sofiane Boufal,Left Wing,107.0,48.3,113.7,0.1,0.06158555,Wayward,Left Foot,Open Play,Half Volley,0
ac8b083c-950f-4978-8497-8f60b4b4fe6d,3857276,1,14,7,1833,Canada,24024,Tajon Buchanan,Left Midfield,113.3,34.9,120.0,27.3,0.27914461,Off T,Right Foot,Open Play,Half Volley,0
5c5a5090-a0eb-47cf-bc78-fd124cb45f43,3857276,1,15,6,788,Morocco,5237,Hakim Ziyech,Right Wing,97.5,54.0,120.0,27.8,0.022624016,Off T,Left Foot,Open Play,Normal,0
fa3e211a-da39-4edb-af18-f1c34dd09874,3857276,1,22,36,788,Morocco,6301,Youssef En-Nesyri,Center Forward,107.6,53.2,120.0,42.6,0.10405799,Goal,Right Foot,Open Play,Half Volley,0
c250176b-5f51-4bfc-8fb0-5ecb47352fe2,3857276,1,32,45,788,Morocco,3634,Abdelhamid Sabiri,Left Center Midfield,107.9,34.2,108.8,34.9,0.09711841,Blocked,Right Foot,Open Play,Normal,0
650fa4d8-6a8d-4340-a0e2-1268ca085d4b,3857276,1,47,18,788,Morocco,6301,Youssef En-Nesyri,Center Forward,106.8,46.7,116.7,44.0,0.094470315,Wayward,Right Foot,Open Play,Volley,0
4d310ca7-0c38-46f7-8d2d-2b695968dd56,3857276,2,57,6,1833,Canada,12365,Alphonso Davies,Center Attacking Midfield,105.1,41.2,120.0,47.1,0.051903803,Off T,Left Foot,Open Play,Volley,0
fffd8564-9064-427c-900c-f59a8163f4ca,3857276,2,70,55,1833,Canada,31684,Atiba Hutchinson,Left Defensive Midfield,112.2,37.7,120.0,39.4,0.086874224,Post,Head,Open Play,Normal,1
c8a3baeb-6a18-4b13-a1ba-07bd5b1f9bc5,3857276,2,70,57,1833,Canada,44703,Alistair Johnston,Right Back,118.8,41.6,120.0,43.6,0.638813,Off T,Head,Open Play,Normal,1
4f45c801-4bd5-448e-b985-5d23fd737fbd,3857271,1,7,15,768,England,3336,Harry Maguire,Left Center Back,115.4,29.4,120.0,34.9,0.23307544,Off T,Left Foot,Open Play,Half Volley,0
743254c2-073c-4f7b-a0af-c0a6304c36d5,3857271,1,26,58,768,England,22084,Bukayo Saka,Right Wing,101.1,55.3,117.5,41.9,0.028282227,Saved,Left Foot,Open Play,Normal,0
8f88956e-94ff-460b-afdd-570963d6759a,3857271,1,29,8,768,England,7843,Mason Mount,Center Attacking Midfield,113.4,49.1,120.0,45.0,0.06697492,Off T,Right Foot,Open Play,Normal,0
e32629f1-a105-440c-8bfa-fdfebd076f4a,3857271,1,31,47,768,England,3336,Harry Maguire,Left Center Back,110.5,40.7,120.0,36.8,0.06988547,Post,Head,Open Play,Normal,1
09a3d7a3-983e-4c01-a8c1-2b1db7169647,3857271,1,34,9,768,England,30714,Jude Bellingham,Right Defensive Midfield,112.0,38.0,120.0,43.0,0.08285139,Goal,Head,Open Play,Normal,1
c9bdb7ab-5b37-4fea-a46b-5969a3563175,3857271,1,42,46,768,England,22084,Bukayo Saka,Right Wing,104.1,38.5,120.0,40.9,0.061030492,Goal,Left Foot,Open Play,Half Volley,0
d47018bb-61d6-425b-ab3c-fa5982a27e05,3857271,1,45,17,768,England,3233,Raheem Sterling,Left Wing,111.0,42.8,120.0,43.2,0.1885282,Goal,Right Foot,Open Play,Volley,0
eb275892-7c32-45cf-b985-aaaa70f0abe3,3857271,1,55,4,797,Iran,5239,Alireza Jahanbakhsh,Right Wing,106.4,48.8,120.0,41.1,0.11232807,Off T,Right Foot,Open Play,Volley,0
be726f9e-21ea-4db2-b188-92a93bf619c8,3857271,2,50,11,768,England,3308,Kieran Trippier,Right Back,93.9,27.7,102.8,31.3,0.042866398,Blocked,Right Foot,Free Kick,Normal,0
f756b2e3-e4d6-4732-af47-f7a7b53bbe18,3857271,2,58,56,768,England,3382,Luke Shaw,Left Back,97.9,25.1,101.5,27.0,0.021548782,Blocked,Left Foot,Open Play,Normal,0
e71b5d22-1492-45e0-b17a-e377d30e6cf4,3857271,2,60,16,797,Iran,5722,Saeid Ezatolahi Afagh,Left Defensive Midfield,83.8,35.5,120.0,30.1,0.0065368367,Off T,Right Foot,Open Play,Normal,0
828aa0c6-95dc-422f-aaa5-fd201e3a5ad9,3857271,2,61,26,768,England,22084,Bukayo Saka,Right Wing,105.3,46.3,120.0,37.3,0.080026746,Goal,Left Foot,Open Play,Normal,0
4e3dddd6-1001-4bca-a950-fe89f59cea25,3857271,2,64,33,797,Iran,5226,Mehdi Taremi,Center Forward,109.7,48.0,120.0,41.3,0.065701395,Goal,Right Foot,Open Play,Normal,1
e78cbb4c-63d2-4368-8396-0e0acdf33e29,3857271,2,69,3,797,Iran,124161,Mehdi Torabi,Left Attacking Midfield,103.5,32.3,105.5,33.3,0.045791544,Blocked,Right Foot,Open Play,Normal,0
98df5d37-d8a0-49e5-af23-7e0605e1ee65,3857271,2,69,5,797,Iran,124167,Ahmad Nourollahi,Right Defensive Midfield,97.8,34.8,120.0,31.7,0.028478073,Off T,Left Foot,Open Play,Volley,0
eb01f465-08f6-4adf-a1b8-865127b41a97,3857271,2,70,51,768,England,3318,Marcus Rashford,Right Wing,109.7,47.7,120.0,38.8,0.40810898,Goal,Left Foot,Open Play,Normal,0
ba04a55e-9bc0-464d-820f-d32c9f35d18f,3857271,2,76,20,797,Iran,5226,Mehdi Taremi,Center Forward,105.1,54.6,120.0,44.7,0.06202265,Off T,Right Foot,Open Play,Half Volley,1
f220150c-38d7-4456-b5ef-5bf0e70a001e,3857271,2,83,5,768,England,3318,Marcus Rashford,Right Wing,108.6,50.7,112.2,47.4,0.0776978,Blocked,Left Foot,Open Play,Normal,0
0ae88f68-f153-4cfc-8fdc-68ae1c5c17b8,3857271,2,89,1,768,England,9638,Jack Grealish,Left Wing,112.0,39.9,120.0,42.7,0.6262809,Goal,Right Foot,Open Play,Normal,0
d1394538-2cec-4547-904f-a529be2af46d,3857271,2,97,41,797,Iran,5224,Sardar Azmoun,Left Center Forward,110.9,30.5,115.2,34.9,0.35130003,Saved to Post,Right Foot,Open Play,Normal,0
39236484-ea4c-4c5b-9025-d7aeb7396aae,3857271,2,102,30,797,Iran,5226,Mehdi Taremi,Right Center Forward,108.0,40.0,120.0,42.3,0.7835,Goal,Right Foot,Penalty,Normal,0
364fa937-c38a-4c40-b659-5e2c369263bd,3857296,1,0,8,785,Croatia,5474,Ivan Perišić,Left Wing,102.9,23.8,120.0,46.0,0.03397081,Off T,Right Foot,Open Play,Half Volley,0
e5643de5-fddc-4ce4-88b5-3cb0e3b7ef31,3857296,1,9,7,782,Belgium,5633,Yannick Ferreira Carrasco,Left Wing,105.3,27.8,106.4,28.7,0.05519996,Blocked,Right Foot,Open Play,Normal,0
e2fdd559-20ee-4568-938b-e0fc4f20d432,3857296,1,10,51,782,Belgium,5633,Yannick Ferreira Carrasco,Left Wing,117.0,29.2,118.5,33.3,0.020840297,Blocked,Right Foot,Open Play,Normal,0
dfa7a03f-d353-42b6-8eab-0b3c773cab85,3857296,1,12,56,782,Belgium,5630,Dries Mertens,Center Attacking Midfield,105.2,33.9,120.0,44.5,0.1934709,Off T,Right Foot,Open Play,Normal,1
c6a6c1cf-85c6-4f3e-981e-9a08db6494ba,3857296,1,24,50,782,Belgium,5642,Axel Witsel,Left Defensive Midfield,92.7,34.9,100.8,36.6,0.025340356,Blocked,Right Foot,Open Play,Normal,0
acb70d12-2cb8-447a-804b-a2f037965fb8,3857296,1,32,19,785,Croatia,5469,Marcelo Brozović,Center Defensive Midfield,99.8,36.6,100.8,36.6,0.054300383,Blocked,Left Foot,Open Play,Normal,0
254222dc-6a4a-4e76-8062-a3a8747ae9ca,3857296,1,32,28,785,Croatia,22041,Marko Livaja,Center Forward,112.2,42.5,120.0,36.0,0.104244776,Off T,Head,Open Play,Normal,1
e2c8f9fc-08c1-4988-8ec5-49b55a0c299d,3857296,1,41,14,782,Belgium,5630,Dries Mertens,Center Attacking Midfield,116.9,49.2,116.9,16.6,0.108029366,Wayward,Left Foot,Open Play,Volley,0
b677a42f-dd8c-4931-baca-5a2bcf0c8c8d,3857296,1,44,42,785,Croatia,12625,Borna Sosa,Left Back,94.9,25.7,120.0,40.6,0.024362085,Off T,Left Foot,Open Play,Normal,0
